The Lead Game - TLG,https://www.codechef.com/problems/TLG
,
Little Elephant and Candies - LECANDY,https://www.codechef.com/problems/LECANDY
,
Football - MSNSADM1,https://www.codechef.com/problems/MSNSADM1
,
Kitchen Timetable - KTTABLE,https://www.codechef.com/problems/KTTABLE
,
That Is My Score! - WATSCORE,https://www.codechef.com/problems/WATSCORE
,
Temple Land - TEMPLELA,https://www.codechef.com/problems/TEMPLELA
,
Closing the Tweets - TWTCLOSE,https://www.codechef.com/problems/TWTCLOSE
,
Deputy Chef - DEPCHEF,https://www.codechef.com/problems/DEPCHEF
,
Workers - CHEFWORK,https://www.codechef.com/problems/CHEFWORK
,
Economics Class - ECOCLASS,https://www.codechef.com/problems/ECOCLASS
,
Replace for X - REPLESX,https://www.codechef.com/problems/REPLESX
,
Plusle and Minun on Array - PMA,https://www.codechef.com/problems/PMA
,
Array Modification - MARM,https://www.codechef.com/problems/MARM
,
Magic Elements - ZOZ,https://www.codechef.com/problems/ZOZ
,
Chef and Recipe - CHEFRECP,https://www.codechef.com/problems/CHEFRECP
,
Subsegment Divisibility  - SEGDIV,https://www.codechef.com/problems/SEGDIV
,
Decomposition Reaction - DCP,https://www.codechef.com/problems/DCP
,
A temple of Snakes - SNTEMPLE,https://www.codechef.com/problems/SNTEMPLE
,
Average of Pairs - AVGPR,https://www.codechef.com/problems/AVGPR
,
Zenny and Simple Sum - SIPM,https://www.codechef.com/problems/SIPM
,
Pogo Stick Competition - POGOSTCK,https://www.codechef.com/problems/POGOSTCK
,
Long Long Sum - BC106,https://www.codechef.com/problems/BC106
,
OR Matrix - ORMATRIX,https://www.codechef.com/problems/ORMATRIX
,
Print Sub-Array - ARRLS1,https://www.codechef.com/problems/ARRLS1
,
Frequency Array - FREQARRY,https://www.codechef.com/problems/FREQARRY
,
Gold Collection - GOLDTRIP,https://www.codechef.com/problems/GOLDTRIP
,
Logging in the computer - ACM14KN3,https://www.codechef.com/problems/ACM14KN3
,
Count Substrings - SBSTR,https://www.codechef.com/problems/SBSTR
,
The Array Problem - ARRPROB,https://www.codechef.com/problems/ARRPROB
,
Chef and Array Update - EXOCODE4,https://www.codechef.com/problems/EXOCODE4
,
Multiply the Array - MULARR,https://www.codechef.com/problems/MULARR
,
Coin Game - CMED01,https://www.codechef.com/problems/CMED01
,
Get on the String - STRLS1,https://www.codechef.com/problems/STRLS1
,
Solve The Case - BC202,https://www.codechef.com/problems/BC202
,
Derive Good String - GOODLS1,https://www.codechef.com/problems/GOODLS1
,
Chef and Arrays - NUTLOOP,https://www.codechef.com/problems/NUTLOOP
,
Game of Chef - CHGM1,https://www.codechef.com/problems/CHGM1
,
Compartment Weights - TRAINWT,https://www.codechef.com/problems/TRAINWT
,
Arranging the numbers - LEFROT,https://www.codechef.com/problems/LEFROT
,
Birthday of Anabelle - BDYGFT,https://www.codechef.com/problems/BDYGFT
,
Ganesh Impresses Jojo - RPH001,https://www.codechef.com/problems/RPH001
,
Cyclothon - CDIT01,https://www.codechef.com/problems/CDIT01
,
Championship - CSHIP,https://www.codechef.com/problems/CSHIP
,
Fill the Truck - FLTRCK,https://www.codechef.com/problems/FLTRCK
,
Is Sum Possible - POSLS1,https://www.codechef.com/problems/POSLS1
,
Spy and Palindrome - RGSPY,https://www.codechef.com/problems/RGSPY
,
Even and Odd - EVEODDEQ,https://www.codechef.com/problems/EVEODDEQ
,
CivilWar - CVW,https://www.codechef.com/problems/CVW
,
String Generation - STRGGEN1,https://www.codechef.com/problems/STRGGEN1
,
Chef and Data Transfer - CHFDT,https://www.codechef.com/problems/CHFDT
,
XMAS Factory - SNTFAC3,https://www.codechef.com/problems/SNTFAC3
,
Chefland Masterchef - NBC003,https://www.codechef.com/problems/NBC003
,
Chef and  Array - EXPCODE1,https://www.codechef.com/problems/EXPCODE1
,
Ants of the Norfolk Island - ARGTS,https://www.codechef.com/problems/ARGTS
,
Just Substract IT - JUSTSUBS,https://www.codechef.com/problems/JUSTSUBS
,
Weak in the Middle - WEAKMID,https://www.codechef.com/problems/WEAKMID
,
Please Help !! - CR3,https://www.codechef.com/problems/CR3
,
Chef And game - MDSB,https://www.codechef.com/problems/MDSB
,
CHEF GOES FOR A DATE - ERROR02,https://www.codechef.com/problems/ERROR02
,
Playing  With Array - NBC006,https://www.codechef.com/problems/NBC006
,
Agent Chef - CDIT03,https://www.codechef.com/problems/CDIT03
,
Chef and Test - CL16BA,https://www.codechef.com/problems/CL16BA
,
Chef and Chocolate - CHOLAT,https://www.codechef.com/problems/CHOLAT
,
Fight Club - NPLFLB,https://www.codechef.com/problems/NPLFLB
,
Mean Array - MEANARR,https://www.codechef.com/problems/MEANARR
,
Rearrange the gifts - REAGIFT,https://www.codechef.com/problems/REAGIFT
,
Find the Students - RIT02,https://www.codechef.com/problems/RIT02
,
Plus One - ARRCHEF1,https://www.codechef.com/problems/ARRCHEF1
,
Maximum Money - MAXMON,https://www.codechef.com/problems/MAXMON
,
Legend of Zelda - LNK1,https://www.codechef.com/problems/LNK1
,
Chef team - CRCTEAM,https://www.codechef.com/problems/CRCTEAM
,
Finding The Lost One - FINLOT,https://www.codechef.com/problems/FINLOT
,
Chef and Wave - CHFWV,https://www.codechef.com/problems/CHFWV
,
Chef and Start - CHEFSTRT,https://www.codechef.com/problems/CHEFSTRT
,
Arrays Sum - ARRAYSUM,https://www.codechef.com/problems/ARRAYSUM
,
Encrypt Message - CHO1,https://www.codechef.com/problems/CHO1
,
Shift and Push - PRCS16B,https://www.codechef.com/problems/PRCS16B
,
Reap What You Sow - SOPC012,https://www.codechef.com/problems/SOPC012
,
Chef and Restaurant - CHFRST,https://www.codechef.com/problems/CHFRST
,
Array operations - ARRAY_OPS,https://www.codechef.com/problems/ARRAY_OPS
,
Sheldon and trains - TRN2,https://www.codechef.com/problems/TRN2
,
Birthday xor - COINBX,https://www.codechef.com/problems/COINBX
,
Jumping Jack - SRTX16C,https://www.codechef.com/problems/SRTX16C
,
The Samosa No - SAMN,https://www.codechef.com/problems/SAMN
,
Sweet Shops of Kolkata - KGP16D,https://www.codechef.com/problems/KGP16D
,
Toy Story - COINYS,https://www.codechef.com/problems/COINYS
,
The Mountaineer - CLMBMNT,https://www.codechef.com/problems/CLMBMNT
,
Misery Meeta - MISMEETA,https://www.codechef.com/problems/MISMEETA
,
Chef and Range - CHEFAMPP,https://www.codechef.com/problems/CHEFAMPP
,
Beautiful Ranges - RANGES,https://www.codechef.com/problems/RANGES
,
Help with tree - CHKTRE,https://www.codechef.com/problems/CHKTRE
,
Help with distances - CHKDST,https://www.codechef.com/problems/CHKDST
,
Suyash and Queries - COINSM,https://www.codechef.com/problems/COINSM
,
People At Party - PEPART,https://www.codechef.com/problems/PEPART
,
Sachin and Large Number - COINLNUM,https://www.codechef.com/problems/COINLNUM
,
Tony and Stocks - TSTOCK,https://www.codechef.com/problems/TSTOCK
,
Pastry flavors - CRCFLAV,https://www.codechef.com/problems/CRCFLAV
,
Tell The Digit - TTD,https://www.codechef.com/problems/TTD
,
Max power of sage - MAXPOW,https://www.codechef.com/problems/MAXPOW
,
Make Palindrome - MPAL,https://www.codechef.com/problems/MPAL
,
Factorial - FCTRL,https://www.codechef.com/problems/FCTRL
,
Packaging Cupcakes - MUFFINS3,https://www.codechef.com/problems/MUFFINS3
,
Greedy puppy - GDOG,https://www.codechef.com/problems/GDOG
,
Carvans - CARVANS,https://www.codechef.com/problems/CARVANS
,
Coin Flip - CONFLIP,https://www.codechef.com/problems/CONFLIP
,
Puppy and Sum - PPSUM,https://www.codechef.com/problems/PPSUM
,
Chef and NextGen - HELIUM3,https://www.codechef.com/problems/HELIUM3
,
Count the Notebooks - NOTEBOOK,https://www.codechef.com/problems/NOTEBOOK
,
The Tom and Jerry Game! - EOEO,https://www.codechef.com/problems/EOEO
,
Golf - LKDNGOLF,https://www.codechef.com/problems/LKDNGOLF
,
A Problem on Sticks - TREE2,https://www.codechef.com/problems/TREE2
,
Richie Rich - CHFRICH,https://www.codechef.com/problems/CHFRICH
,
Temple Land - TEMPLELA,https://www.codechef.com/problems/TEMPLELA
,
Shuffling Parities - SHUFFLIN,https://www.codechef.com/problems/SHUFFLIN
,
Car or Bus - TRAVELFAST,https://www.codechef.com/problems/TRAVELFAST
,
Distribute Apples - DSTAPLS,https://www.codechef.com/problems/DSTAPLS
,
Janmansh and Assignments - JASSIGNMENTS,https://www.codechef.com/problems/JASSIGNMENTS
,
Finding Shoes - FINDSHOES,https://www.codechef.com/problems/FINDSHOES
,
Valentine is Coming - VALENTINE,https://www.codechef.com/problems/VALENTINE
,
